State,Creditor Name,Bureau 
ALABAMA,,
AL ,COMENITYCB/ULTA MC,Experian
AL ,BRB/BHG,TransUnion
AL ,US BANK,TransUnion
AL ,RAY PEARMAN LINCOLN,Equifax
AL ,WELLS FARGO DEALER S,Equifax
AL ,LINCOLN AUTOMOTIVE FIN,Experian
AL ,BK OF AMER,Experian
AL ,RAY PEARMAN LINCOLN,Equifax
AL ,NCCINC/RAY PEARMAN LIN,Experian
AL ,LINCOLN AUTOMOTIVE FIN,Experian
AL ,REDSTONE FCU,Experian
AL ,SYNOVUS,Equifax
AL ,AMEX,Experian
AL ,CAPITAL ONE BANK USA,Equifax
AL ,CAP ONE NA,Experian
AL ,CAPITAL ONE,TransUnion
AL ,SYNCB/SAMS,TransUnion
AL ,US FINANCIAL SERVICES,Experian
AL ,CAPITAL ONE BANK USA,Equifax
AL ,EXPERIAN BUSINESS CRED,Experian
AL ,CAP ONE NA,Experian
AL ,CAPITAL ONE,TransUnion
AL ,REGIONS BANK,TransUnion
AL ,SYNCB,TransUnion
AL ,BANK OF MISSOURI,Equifax
AL ,COMENITYCB/ZALES,Experian
AL ,COMENITYBANK/KAY,Experian
AL ,KUBOTA CREDIT CORP U,Equifax
AL ,KUBOTA LO.C,TransUnion
AL ,SHEFFIELD FINANCIAL,Equifax
AL ,FIRST HERITAGE CREDI,Equifax
AL ,MILLRY TELEPHONE COMPA,Experian
ARKANSAS,,
AR ,TRUIST BANK,Equifax
AR ,US BANK,TransUnion
AR ,FIRST BUS EQ,TransUnion
AR ,STEARNS BANK-ST CLOU,Equifax
AR ,EXPERIAN BUSINESS CRED,Experian
AR ,SYNCB/LOWESC,TransUnion
AR ,CAP ONE NA,Experian
AR ,CAPITAL ONE BANK USA,Equifax
AR ,CAPITAL ONE,TransUnion
AR ,ARVEST BK,TransUnion
AR ,EXPERIAN BUSINESS CRED,Experian
AR ,ARVEST BK,TransUnion
AR ,US BANK,TransUnion
AR ,DISCOVER FINANCIAL SER,Experian
AR ,US BANK,TransUnion
AR ,EXPERIAN BUSINESS CRED,Experian
AR ,EXPERIAN BUSINESS CRED,Experian
ARIZONA,,
AZ,CITIBANK NA ,Equifax
AZ,FACTUAL DATA ,TransUnion
AZ,FACTUAL DATA ,Experian
AZ,FACTUAL DATA ,Equifax
AZ,MOUNTAIN AMERICA CU,Experian
AZ,CISCO,TransUnion
AZ,CREDITAX CISCO INC,Experian
AZ,CISCO CREDIT,Equifax
AZ,DISCOVER FINANCIAL SER,Experian
AZ,US SM BUS ADMIN ODA ,Experian
AZ,MOUNTAIN AMERICA CU,Experian
AZ,WFDS,Experian
AZ,CITIZENS BANK,Equifax
AZ,FORTIVA/TBOM,Equifax
AZ,MICROBILT,Experian
AZ,ELAN FINANCI,TransUnion
AZ,ALLY FINANCIAL,Experian
AZ,ONEAZ CREDIT UNION,Experian
AZ,ONEAZ CREDIT UNION,Experian
AZ,FORD CRED,Experian
AZ,ALLY FINANCI,TransUnion
AZ,700 CREDIT/SAN TAN FOR,Experian
AZ,XACTUS,Equifax
AZ,XACTUS AVANTUS,Experian
AZ,XACTUS LLC,TransUnion
AZ,INFORMATIVE RESEARCH,Equifax
AZ,IR/NEW AMERICAN FUNDIN,Experian
AZ,NEW AMERICAN,TransUnion
AZ,FACTUAL DATA,Equifax
AZ,EQUIFAX MORTGAGE SER,Equifax
AZ,EMS/AMERISAVE MORTGAGE,Experian
AZ,FACTUAL DATA,Experian
AZ,EQUIFAX MTG,TransUnion
AZ,FACTUAL DATA,TransUnion
AZ,MAXIM COMMERCIAL CAPIT,Experian
AZ,BK OF AMER,TransUnion
AZ,ONEAZ CREDIT UNION,Experian
AZ,CAPITAL ONE,Equifax
AZ,RODEO CHRYSLER DODGE ,Equifax
AZ,ONEAZ CREDIT UNION/LSI,Experian
AZ,RODEO CHRYSLER DODGEJ,Experian
AZ,GLOBAL FCU,Experian
AZ,CAPITAL ONE AUTO FIN,Experian
AZ,RODEO CHRYSL,TransUnion
AZ,COAF,TransUnion
AZ,JPMCB CARD,Experian
AZ,CITI CARDS CBNA,Experian
AZ,CISCO CREDIT,Equifax
AZ,CREDITFAX CISCO INC,Experian
AZ,CISCO,TransUnion
AZ,CISCO CREDIT,Equifax
AZ,CREDITFAX CISCO INC,Experian
AZ,CISCO,TransUnion
AZ,WF CRD SVC,Experian
AZ,JPMCB AUTO,Experian
AZ,BK OF AMBER,Experian
AZ,ACADEMY MORT,TransUnion
AZ,XACTUS-CP / ACADEMY MORT,Experian
AZ,XACTUS,Equifax
AZ,COLLEGE AVE/FIRSTRUST,Experian
