lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
InBranchBizCC,1st Source Bank,,https://www.1stsource.com/business/loans/credit-card,https://app.notion.com/p/legacystrong/Indiana-253c3aa761d280869289d2c1b9f70bb0,IN,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-1ST-SOURCE-BANK
OnlineBizCC,Alpine Bank,,,https://app.notion.com/p/legacystrong/Colorado-253c3aa761d28070b6f5f734098892e5,CO,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-ALPINE-BANK
InBranchBizCC,Altabank,,,https://app.notion.com/p/legacystrong/Utah-253c3aa761d28057a843c5d26660d602,UT,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-ALTABANK
InBranchBizCC,American Bank Center (Bravera),,,https://app.notion.com/p/legacystrong/North-Dakota-253c3aa761d280fb8cc3db0a998caa8c,ND,,,,,,,,,,,,,,,,,,Offers Visa Business with varying reward structures,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-AMERICAN-BANK-CENTER-BRAVERA
OnlineBizCC,American Express,Business Gold / Blue Business Cash / Blue Business Plus,,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,All States,EX,,,,"Checking account not required.; Strongest limits go to those with prior Amex spend/payment history.; Business checking not required; No history with Amex? Start with Biz Gold or Platinum → spend + pay off → then apply for Biz Blue Cash + another card; Best to have prior history for stronger approval odds.; No need for business checking; If no history: start with Amex Biz Gold or Platinum → spend/pay off for 1–3 months → then apply for Biz Blue Cash + second charge card; No business checking nee…; After one hard pull by Amex, they often don't do another if the initial pull was within the past…",,,,,,,,,,yes,,,"Checking account not required.; Strongest limits go to those with prior Amex spend/payment history.; Ideal approach: Start with Biz Gold or Biz Platinum → 1–3 months of use → then apply for Biz Blue Cash and Biz Blue Plus.; Business checking not required; Prior Amex relationship helps get higher limits; No history with Amex? Start with Biz Gold or Platinum → spend + pay off → then apply for Biz Blue Cash + another card; If approved for Blue Cash, often also approved for Blue Plus; Best to have prior history for stronger approval odds.; Ideal progression: Biz Gold or Platinum → spend on it for 1–3 months → Biz Blue Cash + Biz Blue Plus.; No need for business checking; If no history: start with Amex Biz Gold or Platinum → spend/pay off for 1–3 months → then apply for Biz Blue Cash + second…; American Express (Amex) is a major card issuer that you'll want to maintain a strong relationship…",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: AMEX cards, American Express (video transcript), Favorite business credit cards, Applying again at the same bank, High limit personal cards, Moving credit limits between credit cards",true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-AMERICAN-EXPRESS
OnlineBizCC,American National (0%,TCM),,https://app.notion.com/p/legacystrong/Virginia-253c3aa761d28024a870e60ca73b3bef,VA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-AMERICAN-NATIONAL-0
OnlineBizCC,American Savings Bank,,,https://app.notion.com/p/legacystrong/Hawaii-253c3aa761d280909ddfdb2513a2c16f,HI,,,,,Business checking account helpful,,,,,,,,,,yes,,,In-state relationship improves approval odds; Business checking account helpful,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-AMERICAN-SAVINGS-BANK
InBranchBizCC,Amex often approves a second 0% card if the first gets approved,,,https://app.notion.com/p/legacystrong/Illinois-253c3aa761d28004ba89f6af65a5b622,IL,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-AMEX-OFTEN-APPROVES-A-SECOND-0-CARD-IF-T
OnlineBizCC,AmTrust / FNBO,,,https://app.notion.com/p/legacystrong/Florida-253c3aa761d280d7aae1c62c34560395,FL,,,,,No business checking account required,,,,,,,,,,,,,No business checking account required; 20-month 0% interest intro offer; Third-party FNBO issue allows for multiple applications through partner banks,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-AMTRUST-FNBO
OnlineBizCC,AmTrust Bank (0% - FNBO),,,https://app.notion.com/p/legacystrong/Arizona-253c3aa761d280c9aea9d64e162937b2,AZ,,,,,Another FNBO partner option. Also checking-free.,,,,,,,,,,,,,Another FNBO partner option. Also checking-free.,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-AMTRUST-BANK-0-FNBO
